Dispute no,Creation Date,Assigned User,Invoice Amount,Trx Type,Dispute Status,Dispute Amount,Reason Code,Requester,Days Pending,Inv Creation Date,Notified Date,Approval Date,Credit Memo Creation Date,Credit Memo Amount,New Invoice Amount,Country,Customer Number,Activity Status,Activity Result,Updated Activity Result,Recipient Team - Broad Level
13.219395163847-D,10-12-2020,?IREC357@.com,4468.75,Proje1-TT,COMPLETE,-143,2-Rebill,CHAND66@.com,3.02,25-08-2020,20-12-2020,23-12-2020,17-12-2020,-4468.75,,DK,14.0680936851586-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193953772088-D,10-12-2020,?IREC360@.com,154806.86,Invoi1-TT,COMPLETE,-0.01,25-Rebill,SELVA282@.com,3.01,07-08-2020,11-12-2020,14-12-2020,11-12-2020,-154806.86,,CR,14.0174000960149-C,COMPLETE,COMPLETE,Approved,AR
13.2193955905705-D,10-12-2020,?IREC357@.com,7316.88,Proje1-TT,COMPLETE,-2854.84,2-Rebill,CHAND66@.com,0.91,03-08-2020,14-12-2020,15-12-2020,14-12-2020,-7316.88,,DK,14.0680936851586-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193958039322-D,10-12-2020,?IREC360@.com,154806.86,Invoi1-TT,COMPLETE,-0.01,25-Rebill,SELVA282@.com,3,15-05-2020,11-12-2020,14-12-2020,11-12-2020,-154806.86,,CR,14.0174000960149-C,COMPLETE,COMPLETE,Approved,AR
13.2193960172939-D,10-12-2020,?IREC357@.com,1003.75,Proje1-TT,COMPLETE,-0.01,2-Rebill,CHAND66@.com,0.91,25-08-2020,14-12-2020,15-12-2020,14-12-2020,-379.75,,DK,14.0680936851586-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193962306555-D,10-12-2020,?IREC360@.com,154806.86,Invoi1-TT,COMPLETE,-0.01,25-Rebill,SELVA282@.com,3,15-05-2020,11-12-2020,14-12-2020,11-12-2020,-154806.86,,CR,14.0174000960149-C,COMPLETE,COMPLETE,Approved,AR
13.219396444017-D,10-12-2020,?IREC360@.com,154806.86,Invoi1-TT,COMPLETE,-0.01,25-Rebill,SELVA282@.com,3,15-05-2020,11-12-2020,14-12-2020,11-12-2020,-154806.86,,CR,14.0174000960149-C,COMPLETE,COMPLETE,Approved,AR
13.2193966573785-D,10-12-2020,?IREC351@.com,273000.78,Inv O1-TT,COMPLETE,-0.01,2-Rebill,MAHAT174@.com,4.01,07-12-2020,11-12-2020,15-12-2020,11-12-2020,-273000.78,,BR,14.364502181296-C,COMPLETE,COMPLETE,Approved,OKS
13.2193968707399-D,10-12-2020,?IREC351@.com,113344.93,Invoi1-TT,COMPLETE,-0.01,2-Rebill,MAHAT174@.com,4.01,07-12-2020,11-12-2020,15-12-2020,11-12-2020,-113344.93,,BR,14.364502181296-C,COMPLETE,COMPLETE,Approved,OKS
13.2193970841013-D,10-12-2020,?IREC343@.com,2876.47,Invoi1-TT,COMPLETE,-0.01,11-Rebill,MIRCE205@.com,4.07,05-11-2020,17-12-2020,22-12-2020,16-12-2020,-2876.47,2876.47,PL,14.3986478079609-C,COMPLETE,COMPLETE,Approved,OKS
13.2193972974627-D,10-12-2020,?ANIR392@.com,9124.6,S/Paa1-TT,CANCELLED,-0.01,11-Rebill,SHAIK285@.com,1.09,04-12-2020,15-12-2020,16-12-2020,,,,US,14.5107537360067-C,COMPLETE,#FORCE,Rejected,Collections
13.2193975108239-D,10-12-2020,?IREC360@.com,1298024140,B-Inv1-TT,COMPLETE,-0.01,4-Rebill,MONIC212@.com,1.12,09-12-2020,16-12-2020,17-12-2020,16-12-2020,-1298024140,,CO,14.3322096377299-C,COMPLETE,COMPLETE,Approved,AR
13.2193977241852-D,10-12-2020,?IREC360@.com,1151692.06,S/Paa1-TT,COMPLETE,-0.01,4-Rebill,SERGI283@.com,0.02,30-11-2020,10-12-2020,10-12-2020,10-12-2020,-1151692.06,,MX,14.5086626699597-C,COMPLETE,COMPLETE,Approved,AR
13.2193979375463-D,10-12-2020,?IREC360@.com,1151692.06,S/Paa1-TT,COMPLETE,-0.01,4-Rebill,SERGI283@.com,0.01,30-11-2020,10-12-2020,10-12-2020,10-12-2020,-1151692.06,,MX,14.5086626699597-C,COMPLETE,COMPLETE,Approved,AR
13.2193981509075-D,10-12-2020,?IREC360@.com,392691.91,S/Paa1-TT,COMPLETE,-0.01,4-Rebill,SERGI283@.com,0.01,03-12-2020,10-12-2020,10-12-2020,10-12-2020,-392691.91,,MX,14.5086626699597-C,COMPLETE,COMPLETE,Approved,AR
13.2193983642685-D,10-12-2020,?IREC360@.com,392691.91,S/Paa1-TT,COMPLETE,-0.01,4-Rebill,SERGI283@.com,0.01,03-12-2020,10-12-2020,10-12-2020,10-12-2020,-392691.91,,MX,14.5086626699597-C,COMPLETE,COMPLETE,Approved,AR
13.2193985776295-D,10-12-2020,?OPAP361@.com,6403.34,920Co1-TT,COMPLETE,-6403.34,21-Rebill,ASHIS45@.com,8.15,01-06-2020,15-12-2020,23-12-2020,14-12-2020,-6403.34,,US,14.383134515837-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193987909905-D,10-12-2020,?IREC360@.com,658.06,Invoi1-TT,COMPLETE,-0.01,2-Rebill,FELIP113@.com,5,27-11-2020,16-12-2020,21-12-2020,16-12-2020,-658.06,,BR,14.4262457750527-C,COMPLETE,COMPLETE,Approved,AR
13.2193990043514-D,10-12-2020,?IREC360@.com,1489.94,Inv O1-TT,COMPLETE,-0.01,2-Rebill,FELIP113@.com,5,27-11-2020,16-12-2020,21-12-2020,16-12-2020,-1489.94,,BR,14.4262457750527-C,COMPLETE,COMPLETE,Approved,AR
13.2193992177123-D,10-12-2020,?IREC348@.com,29.87,920Co1-TT,COMPLETE,-29.87,32-Credit,BISWA56@.com,0.17,29-10-2020,16-12-2020,16-12-2020,16-12-2020,-29.87,,US,14.2822554861024-C,COMPLETE,APPROVED,Approved,AR
13.2193994310731-D,10-12-2020,?IREC360@.com,251935.22,Inv O1-TT,COMPLETE,-0.01,4-Rebill,FELIP113@.com,0.93,08-12-2020,14-12-2020,15-12-2020,10-12-2020,-251935.22,,BR,14.3759769269365-C,COMPLETE,COMPLETE,Approved,AR
13.2193996444338-D,10-12-2020,?IREC360@.com,111266.47,Invoi1-TT,COMPLETE,-0.01,4-Rebill,FELIP113@.com,0.93,08-12-2020,14-12-2020,15-12-2020,10-12-2020,-111266.47,,BR,14.3759769269365-C,COMPLETE,COMPLETE,Approved,AR
13.2193998577945-D,10-12-2020,?OPAP361@.com,219300.69,920Co1-TT,COMPLETE,-0.01,21-Rebill,SOURA296@.com,2.11,22-09-2020,15-12-2020,17-12-2020,14-12-2020,-219300.69,,US,14.1924886057566-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2194000711552-D,10-12-2020,?SAIR368@.com,800,S/Paa1-TT,CANCELLED,-800,9-Credit,IMAN.128@.com,0.08,15-11-2020,11-12-2020,11-12-2020,,,,US,14.4932108849943-C,COMPLETE,#FORCE,Rejected,Collections
13.2194002845158-D,10-12-2020,?IRIS393@.com,72.12,S/Paa1-TT,NOT_APPROVED,-0.01,4-Rebill,GABRI117@.com,0.01,01-12-2020,10-12-2020,10-12-2020,,,,CR,14.230835364114-C,COMPLETE,REJECTED,Rejected,Collections
13.2194004978763-D,10-12-2020,?IREC383@.com,172781.42,Invoi1-TT,PENDING_APPROVAL,-0.01,23-Rebill,RAVI.261@.com,6.92,06-12-2020,22-12-2020,,,,,AU,11.7896020987911-C,NOTIFIED,,Pending Approval,Cash Apps
13.2194007112368-D,10-12-2020,?OM-C355@.com,26828.41,Lic C1-TT,COMPLETE,-0.01,14-Rebill,PREET242@.com,0.07,09-12-2020,16-12-2020,16-12-2020,16-12-2020,-26828.41,,SG,14.1624675716405-C,COMPLETE,COMPLETE,Approved,GOM CMRB
13.2194009245973-D,10-12-2020,?IREC356@.com,8550.21,Invoi1-TT,COMPLETE,-0.01,4-Rebill,MIGUE200@.com,0.24,25-08-2020,14-12-2020,14-12-2020,14-12-2020,-8550.21,,LV,14.0960667650445-C,COMPLETE,COMPLETE,Approved,AR
13.2194011379576-D,10-12-2020,?IREC356@.com,97810.86,Lic C1-TT,COMPLETE,-97810.86,13-Credit,CODRI73@.com,0.84,04-12-2020,17-12-2020,18-12-2020,18-12-2020,-97810.86,,FR,14.0675147009424-C,COMPLETE,APPROVED,Approved,AR
